time;logger;level;database;message;exception
2013-04-21 20:31:31.8091;Raven.Database.Impl.DocumentCacher;Info;<system>;"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3174039552
  PollingInterval     = 00:02:00";
2013-04-21 20:31:31.8661;Raven.Storage.Esent.TransactionalStorage;Info;<system>;"Esent Settings:
  MaxVerPages      = 16384
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2013-04-21 20:31:40.0685;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;Document with key 'Raven/Backup/Status' was not found;
2013-04-21 20:31:40.1305;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work;
2013-04-21 20:31:40.1305;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work;
2013-04-21 20:31:40.1695;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;;Document with key 'Raven/Authorization/WindowsSettings' was not found;
2013-04-21 20:32:00.4897;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;Document with key 'Raven/Replication/Destinations' was not found;
2013-04-21 20:32:00.5037;Raven.Database.Server.HttpServer;Debug;;Request #   1: GET     -   230 ms - <system>   - 404 - /docs/Raven/Replication/Destinations;
2013-04-21 20:32:00.5037;Raven.Database.Server.HttpServer;Debug;;Request #   2: HEAD    -   146 ms - <system>   - 404 - /indexes/BlogPosts/ByAuthor;
2013-04-21 20:32:02.6608;Raven.Database.Storage.IndexDefinitionStorage;Info;<system>;"New index BlogPosts%2fByAuthor:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_BlogPosts_2fByAuthor : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_BlogPosts_2fByAuthor()
	{
		this.ViewText = @""docs.BlogPosts.Select(post => new {
    Author = post.Author,
    Count = 1
})
results.GroupBy(result => result.Author).Select(g => new {
    Author = g.Key,
    Count = Enumerable.Sum(g, x => ((int) x.Count))
})"";
		this.ForEntityNames.Add(""BlogPosts"");
		this.AddMapDefinition(docs => docs.Where(__document => string.Equals(__document[""@metadata""][""Raven-Entity-Name""], ""BlogPosts"", System.StringComparison.InvariantCultureIgnoreCase)).Select((Func<dynamic, dynamic>)(post => new {
			Author = post.Author,
			Count = 1,
			__document_id = post.__document_id
		})));
		this.ReduceDefinition = results => results.GroupBy((Func<dynamic, dynamic>)(result => result.Author)).Select((Func<IGrouping<dynamic,dynamic>, dynamic>)(g => new {
			Author = g.Key,
			Count = Enumerable.Sum(g, (Func<dynamic, int>)(x => ((int)x.Count)))
		}));
		this.GroupByExtraction = result => result.Author;
		this.AddField(""Author"");
		this.AddField(""Count"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using System.Globalization;
using System.Text.RegularExpressions;
using Raven.Database.Indexing;


public class Index_BlogPosts_2fByAuthor : Raven.Database.Linq.AbstractViewGenerator
{
	public Index_BlogPosts_2fByAuthor()
	{
		this.ViewText = @""docs.BlogPosts.Select(post => new {
    Author = post.Author,
    Count = 1
})
results.GroupBy(result => result.Author).Select(g => new {
    Author = g.Key,
    Count = Enumerable.Sum(g, x => ((int) x.Count))
})"";
		this.ForEntityNames.Add(""BlogPosts"");
		this.AddMapDefinition(docs => docs.Where(__document => string.Equals(__document[""@metadata""][""Raven-Entity-Name""], ""BlogPosts"", System.StringComparison.InvariantCultureIgnoreCase)).Select((Func<dynamic, dynamic>)(post => new {
			Author = post.Author,
			Count = 1,
			__document_id = post.__document_id
		})));
		this.ReduceDefinition = results => results.GroupBy((Func<dynamic, dynamic>)(result => result.Author)).Select((Func<IGrouping<dynamic,dynamic>, dynamic>)(g => new {
			Author = g.Key,
			Count = Enumerable.Sum(g, (Func<dynamic, int>)(x => ((int)x.Count)))
		}));
		this.GroupByExtraction = result => result.Author;
		this.AddField(""Author"");
		this.AddField(""Count"");
	}
}
";
2013-04-21 20:32:02.7518;Raven.Database.Indexing.IndexStorage;Debug;<system>;Creating index BlogPosts/ByAuthor with encoded name BlogPosts/ByAuthor;
2013-04-21 20:32:02.9879;Raven.Database.Indexing.Index.Indexing;Debug;<system>;Creating index for BlogPosts/ByAuthor;
2013-04-21 20:32:03.0159;Raven.Database.Indexing.WorkContext;Debug;<system>;Incremented work counter to 1 because: PUT INDEX BlogPosts/ByAuthor;
2013-04-21 20:32:03.0389;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 1, for: IndexingExecuter, will wait for additional work;
2013-04-21 20:32:03.0389;Raven.Database.Indexing.WorkContext;Debug;<system>;No work was found, workerWorkCounter: 1, for: ReducingExecuter, will wait for additional work;
2013-04-21 20:32:03.0589;Raven.Database.Server.HttpServer;Debug;;Request #   3: PUT     - 2,284 ms - <system>   - 201 - /indexes/BlogPosts/ByAuthor;
2013-04-21 20:32:03.1189;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;Document with key 'Raven/Replication/Destinations' was not found;
2013-04-21 20:32:03.1189;Raven.Database.Server.HttpServer;Debug;;Request #   4: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations;
2013-04-21 20:32:03.1189;Raven.Database.Server.HttpServer;Debug;;Request #   5: HEAD    -     0 ms - <system>   - 404 - /indexes/Customers/ByFirstName;
